HCPCS,MOD,DESCRIPTION,WORK RVU
20561,,Ndl insj w/o njx 3+ musc,0.48
2060F,,Pt intrvwd on/before dx mdd,0.00
20600,,Drain/inj joint/bursa w/o us,0.66
20604,,Drain/inj joint/bursa w/us,0.89
20605,,Drain/inj joint/bursa w/o us,0.68
20606,,Drain/inj joint/bursa w/us,1.00
20610,,Drain/inj joint/bursa w/o us,0.79
20611,,Drain/inj joint/bursa w/us,1.10
20612,,Aspirate/inj ganglion cyst,0.70
20615,,Treatment of bone cyst,2.33
20650,,Insert and remove bone pin,2.28
20660,,Apply rem fixation device,4.00
20661,,Application halo cranial,5.26
20662,,Application halo pelvic,6.38
20663,,Application halo femoral,5.74
20664,,Appl halo cranial 6+pins,10.06
20665,,Rmvl tongs/halo anthr indiv,1.36
20670,,Removal implant superficial,1.79
20680,,Removal of implant deep,5.96
20690,,Appl unipln uni ext fixj sys,8.78
20692,,Appl mltpln uni ext fixj sys,16.27
20693,,Adjmt/revj ext fixj sys anes,6.06
20694,,Rmvl ext fixj sys under anes,4.28
20696,,App mltpln uni xtrnl fix 1st,17.56
20697,,App mltpln uni xtrnl fix xch,0.00
20700,,Mnl prep&insj dp rx dlvr dev,1.50
20701,,Rmvl deep rx delivery device,1.13
20702,,Mnl prep&insj imed rx dev,2.50
20703,,Rmvl imed rx delivery device,1.80
20704,,Mnl prep&insj i-artic rx dev,2.60
20705,,Rmvl i-artic rx delivery dev,2.15
20802,,Replantation arm complete,42.62
20805,,Replant forearm complete,51.46
20808,,Replantation hand complete,63.09
20816,,Replantation digit complete,31.95
20822,,Replantation digit complete,26.66
20824,,Replantation thumb complete,31.95
20827,,Replantation thumb complete,27.48
20838,,Replantation foot complete,42.88
20900,,Removal of bone for graft,3.00
20902,,Removal of bone for graft,4.58
20910,,Remove cartilage for graft,5.53
20912,,Remove cartilage for graft,6.54
20920,,Removal of fascia for graft,5.51
20922,,Removal of fascia for graft,6.93
20924,,Removal of tendon for graft,6.68
20930,,Sp bone algrft morsel add-on,0.00
20931,,Sp bone algrft struct add-on,1.81
20932,,Osteoart algrft w/surf & b1,13.01
20933,,Hemicrt intrclry algrft prtl,11.94
20934,,Intercalary algrft compl,13.00
20936,,Sp bone agrft local add-on,0.00
20937,,Sp bone agrft morsel add-on,2.79
20938,,Sp bone agrft struct add-on,3.02
20939,,Bone marrow aspir bone grfg,1.16
20950,,Fluid pressure muscle,1.26
20955,,Fibula bone graft microvasc,40.26
20956,,Iliac bone graft microvasc,41.18
20957,,Mt bone graft microvasc,42.61
20962,,Other bone graft microvasc,39.21
20969,,Bone/skin graft microvasc,45.43
20970,,Bone/skin graft iliac crest,44.58
20972,,Bone/skin graft metatarsal,44.51
20973,,Bone/skin graft great toe,47.27
20974,,Electrical bone stimulation,0.62
20975,,Electrical bone stimulation,2.60
20979,,Us bone stimulation,0.62
20982,,Ablate bone tumor(s) perq,7.02
20983,,Ablate bone tumor(s) perq,6.88
20985,,Cptr-asst dir ms px,2.50
20999,,Unlisted px muscskel general,0.00
21010,,Incision of jaw joint,11.04
21011,,Exc face les sc <2 cm,2.99
21012,,Exc face les sbq 2 cm/>,4.45
21013,,Exc face tum deep < 2 cm,5.42
21014,,Exc face tum deep 2 cm/>,7.13
21015,,Resect face/scalp tum < 2 cm,9.89
21016,,Resect face/scalp tum 2 cm/>,15.26
21025,,Excision of bone lower jaw,10.03
21026,,Excision of facial bone(s),5.70
21029,,Contour of face bone lesion,8.39
21030,,Excise max/zygoma b9 tumor,4.91
21031,,Remove exostosis mandible,3.30
21032,,Remove exostosis maxilla,3.34
21034,,Excise max/zygoma mal tumor,17.38
21040,,Excise mandible lesion,4.91
21044,,Removal of jaw bone lesion,12.80
21045,,Extensive jaw surgery,18.37
21046,,Remove mandible cyst complex,14.21
21047,,Excise lwr jaw cyst w/repair,20.07
21048,,Remove maxilla cyst complex,14.71
21049,,Excis uppr jaw cyst w/repair,19.32
21050,,Removal of jaw joint,11.76
21060,,Remove jaw joint cartilage,11.07
21070,,Remove coronoid process,8.62
21073,,Mnpj of tmj w/anesth,3.45
21076,,Impres&prep surg obt prosth,13.40
21077,,Impres&prep orbital prosth,33.70
21079,,Impres&prep intrm obt prosth,22.31
21080,,Impres&prep def obt prosth,25.06
21081,,Impres&prep mndbl res prosth,22.85
21082,,Impres&prep paltl aug prosth,20.84
21083,,Impres&prep paltl lft prosth,19.27
21084,,Impres&prep sp aid prosth,22.48
21085,,Impres&prep oral surg splint,8.99
21086,,Impres&prep auricular prosth,24.88
21087,,Impres&prep nasal prosth,24.88
21088,,Impres&prep facial prosth,0.00
21089,,Unlisted maxlfcl prosth px,0.00
21100,,Maxillofacial fixation,4.73
21110,,Interdental fixation,5.99
21116,,Injection jaw joint x-ray,0.81
21120,,Genioplasty augmentation,5.10
21121,,Geniop sldg osteot 1,7.81
21122,,Geniop sldg osteot 2/>,8.71
21123,,Geniop sldg augmentation,11.34
21125,,Augmentation mndblr prostc,10.80
21127,,Augmentation mndblr b1 grf,12.44
21137,,Rdctj forehead cntrg only,10.24
21138,,Rdctj forehead cntrg&prostc,12.87
21139,,Rdctj forehead cntrg&setback,15.02
21141,,Lefort i-1 piece w/o graft,19.57
21142,,Lefort i-2 piece w/o graft,20.28
21143,,Lefort i-3/> piece w/o graft,21.05
21145,,Lefort i-1 piece w/ graft,23.94
21146,,Lefort i-2 piece w/ graft,24.87
21147,,Lefort i-3/> piece w/ graft,26.47
21150,,Lefort ii anterior intrusion,25.96
21151,,Lefort ii w/bone grafts,29.02
21154,,Lefort iii w/o lefort i,31.29
21155,,Lefort iii w/ lefort i,35.22
21159,,Lefort iii w/fhdw/o lefort i,43.14
21160,,Lefort iii w/fhd w/ lefort i,47.19
21172,,Reconstruct orbit/forehead,28.20
21175,,Reconstruct orbit/forehead,33.56
21179,,Reconstruct entire forehead,22.65
21180,,Reconstruct entire forehead,25.58
21181,,Contour cranial bone lesion,10.28
21182,,Reconstruct cranial bone,32.58
21183,,Reconstruct cranial bone,35.70
21184,,Reconstruct cranial bone,38.62
21188,,Reconstruction of midface,23.15
21193,,Reconst lwr jaw w/o graft,18.90
21194,,Reconst lwr jaw w/graft,21.82
21195,,Reconst lwr jaw w/o fixation,19.16
21196,,Reconst lwr jaw w/fixation,20.83
21198,,Reconstr lwr jaw segment,15.71
21199,,Reconstr lwr jaw w/advance,16.73
21206,,Reconstruct upper jaw bone,15.59
21208,,Augmentation of facial bones,11.42
21209,,Reduction of facial bones,7.82
21210,,Face bone graft,11.69
21215,,Lower jaw bone graft,12.23
21230,,Rib cartilage graft,11.17
21235,,Ear cartilage graft,7.50
21240,,Reconstruction of jaw joint,16.07
21242,,Reconstruction of jaw joint,14.59
21243,,Reconstruction of jaw joint,24.53
21244,,Reconstruction of lower jaw,13.62
21245,,Reconstruction of jaw,13.12
21246,,Reconstruction of jaw,12.92
21247,,Reconstruct lower jaw bone,24.37
21248,,Reconstruction of jaw,12.74
21249,,Reconstruction of jaw,18.77
21255,,Reconstruct lower jaw bone,18.46
21256,,Reconstruction of orbit,17.66
21260,,Revise eye sockets,17.90
21261,,Revise eye sockets,34.07
21263,,Revise eye sockets,31.01
21267,,Revise eye sockets,20.69
21268,,Revise eye sockets,27.07
21270,,Augmentation cheek bone,10.63
21275,,Revision orbitofacial bones,11.76
21280,,Medial canthopexy,7.13
21282,,Lateral canthopexy,4.27
21295,,Revision of jaw muscle/bone,1.90
21296,,Revision of jaw muscle/bone,4.78
21299,,Unlisted cranfcl&maxlfcl px,0.00
21315,,Clsd tx nsl fx mnpj wo stblj,0.96
21320,,Clsd tx nsl fx w/mnpj&stablj,1.59
21325,,Open tx nose fx uncomplicatd,4.18
21330,,Open tx nose fx w/skele fixj,5.79
21335,,Open tx nose & septal fx,9.02
21336,,Open tx septal fx w/wo stabj,6.77
21337,,Closed tx septal&nose fx,3.39
21338,,Open nasoethmoid fx w/o fixj,6.87
21339,,Open nasoethmoid fx w/ fixj,8.50
21340,,Perq tx nasoethmoid fx,11.49
21343,,Open tx dprsd front sinus fx,14.32
21344,,Open tx compl front sinus fx,21.57
21345,,Closed tx nose/jaw fx,9.06
21346,,Opn tx nasomax fx w/fixj,11.45
21347,,Opn tx nasomax fx multple,13.53
21348,,Opn tx nasomax fx w/graft,17.52
21355,,Perq tx malar fracture,4.45
21356,,Opn tx dprsd zygomatic arch,4.83
21360,,Opn tx dprsd malar fracture,7.19
21365,,Opn tx complx malar fx,16.77
21366,,Opn tx complx malar w/grft,18.60
21385,,Opn tx orbit fx transantral,9.57
21386,,Opn tx orbit fx periorbital,9.57
21387,,Opn tx orbit fx combined,10.11
21390,,Opn tx orbit periorbtl implt,11.23
21395,,Opn tx orbit periorbt w/grft,14.70
21400,,Closed tx orbit w/o manipulj,1.50
21401,,Closed tx orbit w/manipulj,3.68
21406,,Opn tx orbit fx w/o implant,7.42
21407,,Opn tx orbit fx w/implant,9.02
21408,,Opn tx orbit fx w/bone grft,12.78
21421,,Cltx palatal/max fx wire fix,6.02
21422,,Optx palatal/max fracture,8.73
21423,,Optx palatal/max fx comp,10.85
21431,,Cltx craniofacial separation,7.90
21432,,Optx cranfcl sep w/wiring,8.82
21433,,Optx cranfcl sep comp mlt,26.29
21435,,Optx crnfc sep comp int&/xtr,20.26
21436,,Optx crnfcl sep comp mlt int,30.30
21440,,Cltx mndblr/max alv ridge fx,3.44
21445,,Optx mndblr/max alv ridge fx,6.26
21450,,Cltx mndblr fx w/o mnpj,3.71
21451,,Cltx mndblr fx w/mnpj,5.65
21452,,Perq tx mndblr fx xtrnl fixj,2.40
21453,,Cltx mndblr fx ntrdntl fixj,6.64
21454,,Optx mndblr fx xtrnl fixj,7.36
21461,,Optx mndblr fx wo ntrdntl,9.31
21462,,Optx mndblr fx w/ntrdntl,11.01
21465,,Optx mndblr cndylr fx,13.12
21470,,Optx complicated mndblr fx,17.54
21480,,Cltx tmprmand dislc 1st/sbsq,0.61
21485,,Cltx tmprmand dislc comp,4.77
21490,,Optx tmprmand dislocation,12.95
21497,,Interdental wirg oth/thn fx,4.64
21499,,Unlisted muscskel px head,0.00
21501,,I&d dp absc/hmtma sft ts nck,3.98
21502,,I&d dp abs/hmtm nck rib ostc,7.55
21510,,Inc deep opng b1 crtx thorax,6.20
21550,,Biopsy of neck/chest,2.11
21552,,Exc neck les sc 3 cm/>,6.49
21554,,Exc neck tum deep 5 cm/>,11.13
21555,,Exc neck les sc < 3 cm,3.96
21556,,Exc neck tum deep < 5 cm,7.66
21557,,Resect neck thorax tumor<5cm,14.75
21558,,Resect neck tumor 5 cm/>,21.58
21600,,Partial removal of rib,7.26
21601,,Exc chest wall tumor w/ribs,17.78
21602,,Exc ch wal tum w/o lymphadec,22.19
21603,,Exc ch wal tum w/lymphadec,25.17
21610,,Partial removal of rib,15.91
21615,,Removal of rib,10.45
21616,,Removal of rib and nerves,12.69
21620,,Partial removal of sternum,7.28
21627,,Sternal debridement,7.30
21630,,Radical resection sternum,19.18
21685,,Hyoid myotomy & suspension,15.26
21700,,Revision of neck muscle,6.31
21705,,Revision of neck muscle/rib,9.92
21720,,Revision of neck muscle,5.80
21725,,Revision of neck muscle,7.19
21740,,Reconstruction of sternum,17.57
21742,,Repair stern/nuss w/o scope,0.00
21743,,Repair sternum/nuss w/scope,0.00
21750,,Repair of sternum separation,11.40
21811,,Optx of rib fx w/fixj scope,10.79
21812,,Treatment of rib fracture,13.00
21813,,Treatment of rib fracture,17.61
21820,,Treat sternum fracture,1.36
21825,,Treat sternum fracture,7.76
21899,,Unlisted px neck/thorax,0.00
21920,,Biopsy soft tissue of back,2.11
21925,,Biopsy soft tissue of back,4.63
21930,,Exc back les sc < 3 cm,4.94
21931,,Exc back les sc 3 cm/>,6.88
21932,,Exc back tum deep < 5 cm,9.82
21933,,Exc back tum deep 5 cm/>,11.13
21935,,Resect back tum < 5 cm,15.72
21936,,Resect back tum 5 cm/>,22.55
22010,,I&d p-spine c/t/cerv-thor,12.75
22015,,I&d abscess p-spine l/s/ls,12.64
22100,,Remove part of neck vertebra,11.00
22101,,Remove part thorax vertebra,11.08
22102,,Remove part lumbar vertebra,11.08
22103,,Remove extra spine segment,2.34
22110,,Remove part of neck vertebra,14.00
22112,,Remove part thorax vertebra,14.07
22114,,Remove part lumbar vertebra,14.07
22116,,Remove extra spine segment,2.32
22206,,Incis spine 3 column thorac,37.18
22207,,Incis spine 3 column lumbar,36.68
22208,,Incis spine 3 column adl seg,9.66
22210,,Incis 1 vertebral seg cerv,25.38
22212,,Incis 1 vertebral seg thorac,20.99
22214,,Incis 1 vertebral seg lumbar,21.02
22216,,Incis addl spine segment,6.03
22220,,Osteot dsc ant 1 vrt sgm crv,22.94
22222,,Osteot dsc ant 1vrt sgm thrc,23.09
22224,,Osteot dsc ant 1vrt sgm lmbr,23.09
22226,,Osteot dsc ant 1vrt sgm ea,6.03
22310,,Closed tx vert fx w/o manj,3.45
22315,,Closed tx vert fx w/manj,10.11
22318,,Treat odontoid fx w/o graft,22.72
22319,,Treat odontoid fx w/graft,25.33
22325,,Treat spine fracture,19.87
22326,,Treat neck spine fracture,20.84
22327,,Treat thorax spine fracture,20.77
22328,,Treat each add spine fx,4.60
22505,,Manipulation of spine,1.87
22510,,Perq cervicothoracic inject,7.90
22511,,Perq lumbosacral injection,7.33
22512,,Vertebroplasty addl inject,4.00
22513,,Perq vertebral augmentation,8.65
22514,,Perq vertebral augmentation,7.99
22515,,Perq vertebral augmentation,4.00
22526,,Idet single level,5.85
22527,,Idet 1 or more levels,3.03
22532,,Arthrd lat xtrcvtry tq thrc,25.99
22533,,Arthrd lat xtrcvtry tq lmbr,24.79
22534,,Arthrd lat xtrcvtry tq ea ad,5.99
22548,,Arthrd ant toral/xoral c1-c2,27.06
22551,,Arthrd ant ntrbdy cervical,25.00
22552,,Arthrd ant ntrbd cervical ea,6.50
22554,,Arthrd ant ntrbd min dsc crv,17.69
22556,,Arthrd ant ntrbd min dsc thc,24.70
22558,,Arthrd ant ntrbd min dsc lum,23.53
22585,,Arthrd ant ntrbd min dsc ea,5.52
22586,,Arthrd pre-sac ntrbdy l5-s1,28.12
22590,,Arthrd pst tq craniocervical,21.76
22595,,Arthrd pst tq atlas-axis,20.64
22600,,Arthrd pst tq 1ntrspc crv,17.40
22610,,Arthrd pst tq 1ntrspc thrc,17.28
22612,,Arthrd pst tq 1ntrspc lumbar,23.53
22614,,Arthrd pst tq 1ntrspc ea add,6.43
22630,,Arthrd pst tq 1ntrspc lum,22.09
22632,,Arthrd pst tq 1ntrspc lm ea,5.22
22633,,Arthrd cmbn 1ntrspc lumbar,26.80
22634,,Arthrd cmbn 1ntrspc ea addl,7.96
22800,,Arthrd pst dfrm<6 vrt sgm,19.50
22802,,Arthrd pst dfrm 7-12 vrt sgm,32.11
22804,,Arthrd pst dfrm 13+ vrt sgm,37.50
22808,,Arthrd ant dfrm 2-3 vrt sgm,27.51
22810,,Arthrd ant dfrm 4-7 vrt sgm,31.50
22812,,Arthrd ant dfrm 8+ vrt sgm,34.25
22818,,Kyphectomy 1-2 segments,34.33
22819,,Kyphectomy 3 or more,39.38
22830,,Exploration of spinal fusion,11.22
22836,,Ant thrc vrt body tethrg <7,32.00
22837,,Ant thrc vrt body tethrg 8+,35.50
22838,,Rev rplc/rmv thrc vrt tethrg,36.00
22840,,Insert spine fixation device,12.52
22841,,Insert spine fixation device,0.00
22842,,Insert spine fixation device,12.56
22843,,Insert spine fixation device,13.44
22844,,Insert spine fixation device,16.42
22845,,Insert spine fixation device,11.94
22846,,Insert spine fixation device,12.40
22847,,Insert spine fixation device,13.78
22848,,Insert pelv fixation device,5.99
22849,,Reinsert spinal fixation,19.17
22850,,Remove spine fixation device,9.82
22852,,Remove spine fixation device,9.37
22853,,Insj biomechanical device,4.25
22854,,Insj biomechanical device,5.50
22855,,Removal anterior instrmj,15.86
22856,,Tot disc arthrp 1ntrspc crv,24.05
22857,,Tot disc arthrp 1ntrspc lmbr,27.13
22858,,Tot disc arthrp 2nd lvl crv,8.40
22859,,Insj biomechanical device,5.50
22860,,Tot disc arthrp 2ntrspc lmbr,6.88
22861,,Rev rplcm arthrp 1ntrspc crv,33.36
22862,,Rev rplcm rthrp 1ntrspc lmbr,32.63
22864,,Rmvl tot arthrp 1ntrspc crv,29.40
22865,,Rmvl tot arthrp 1ntrspc lmbr,31.75
22867,,Insj stablj dev w/dcmprn,15.00
22868,,Insj stablj dev w/dcmprn,4.00
22869,,Insj stablj dev w/o dcmprn,7.03
22870,,Insj stablj dev w/o dcmprn,2.34
22899,,Unlisted procedure spine,0.00
22900,,Exc abdl tum deep < 5 cm,8.32
22901,,Exc abdl tum deep 5 cm/>,10.11
22902,,Exc abd les sc < 3 cm,4.42
22903,,Exc abd les sc 3 cm/>,6.39
22904,,Radical resect abd tumor<5cm,16.69
22905,,Rad resect abd tumor 5 cm/>,21.58
22999,,Unlisted px abdomen muscskel,0.00
23000,,Removal of calcium deposits,4.48
23020,,Release shoulder joint,9.36
23030,,Drain shoulder lesion,3.47
23031,,Drain shoulder bursa,2.79
23035,,Drain shoulder bone lesion,9.16
23040,,Exploratory shoulder surgery,9.75
23044,,Exploratory shoulder surgery,7.59
23065,,Biopsy shoulder tissues,2.30
23066,,Biopsy shoulder tissues,4.30
23071,,Exc shoulder les sc 3 cm/>,5.91
23073,,Exc shoulder tum deep 5 cm/>,10.13
23075,,Exc shoulder les sc < 3 cm,4.21
23076,,Exc shoulder tum deep < 5 cm,7.41
23077,,Resect shoulder tumor < 5 cm,17.66
23078,,Resect shoulder tumor 5 cm/>,22.55
23100,,Biopsy of shoulder joint,6.20
23101,,Shoulder joint surgery,5.72
23105,,Remove shoulder joint lining,8.48
23106,,Incision of collarbone joint,6.13
23107,,Explore treat shoulder joint,8.87
23120,,Claviculectomy partial,7.39
23125,,Claviculectomy total,9.64
23130,,Acromp/acromionectomy prtl,7.77
23140,,Removal of bone lesion,7.12
23145,,Removal of bone lesion,9.40
23146,,Removal of bone lesion,8.08
23150,,Removal of humerus lesion,8.91
23155,,Removal of humerus lesion,10.86
23156,,Removal of humerus lesion,9.11
23170,,Remove collar bone lesion,7.21
23172,,Remove shoulder blade lesion,7.31
23174,,Remove humerus lesion,10.05
23180,,Remove collar bone lesion,8.99
23182,,Remove shoulder blade lesion,8.61
23184,,Remove humerus lesion,9.90
23190,,Partial removal of scapula,7.47
23195,,Removal of head of humerus,10.36
23200,,Resect clavicle tumor,22.71
23210,,Resect scapula tumor,27.21
23220,,Resect prox humerus tumor,30.21
23330,,Remove shoulder foreign body,1.90
23333,,Remove shoulder fb deep,6.00
23334,,Shoulder prosthesis removal,15.50
23335,,Shoulder prosthesis removal,19.00
23350,,Injection for shoulder x-ray,1.00
23395,,Muscle transfer shoulder/arm,18.54
23397,,Muscle transfers,16.76
23400,,Fixation of shoulder blade,13.87
23405,,Incision of tendon & muscle,8.54
23406,,Incise tendon(s) & muscle(s),11.01
23410,,Repair rotator cuff acute,11.39
23412,,Repair rotator cuff chronic,11.93
23415,,Release of shoulder ligament,9.23
23420,,Repair of shoulder,13.54
23430,,Repair biceps tendon,10.17
23440,,Remove/transplant tendon,10.64
23450,,Repair shoulder capsule,13.70
23455,,Repair shoulder capsule,14.67
23460,,Repair shoulder capsule,15.82
23462,,Repair shoulder capsule,15.72
23465,,Repair shoulder capsule,16.30
23466,,Repair shoulder capsule,15.80
23470,,Reconstruct shoulder joint,17.89
23472,,Reconstruct shoulder joint,22.13
23473,,Revis reconst shoulder joint,25.00
23474,,Revis reconst shoulder joint,27.21
23480,,Revision of collar bone,11.54
23485,,Revision of collar bone,13.91
23490,,Reinforce clavicle,12.16
23491,,Reinforce shoulder bones,14.54
23500,,Cltx clavicular fx w/o mnpj,2.21
23505,,Cltx clavicular fx w/mnpj,3.83
23515,,Optx clavicular fx w/int fix,9.69
23520,,Cltx strnclav dislc w/o mnpj,2.29
23525,,Cltx strnclav dislc w/mnpj,3.79
23530,,Optx strnclav dislc aqt/chrn,7.48
23532,,Optx strclv dslc aq/chrn grf,8.20
23540,,Cltx acromclav dislc wo mnpj,2.36
23545,,Cltx acromclav dislc w/mnpj,3.43
23550,,Optx acromclv dislc aqt/chrn,7.59
23552,,Optx acrclv dslc aq/chrn grf,8.82
23570,,Cltx scapular fx w/o mnpj,2.36
23575,,Cltx scap fx w/mnpj +-tractj,4.23
23585,,Optx scapular fx w/int fixj,14.23
23600,,Cltx prox humrl fx w/o mnpj,3.00
23605,,Cltx prx hmrl fx mnpj+-tract,5.06
23615,,Optx prox humrl fx w/int fix,12.30
23616,,Optx prx hmrl fx fix rpr rpl,18.37
23620,,Cltx gr hmrl tbrs fx wo mnpj,2.55
23625,,Cltx gr hmrl tbrs fx w/mnpj,4.10
23630,,Optx gr hmrl tbrs fx int fix,10.57
23650,,Cltx sho dslc w/mnpj wo anes,3.53
23655,,Cltx sho dslc w/mnpj w/anes,4.76
23660,,Optx acute shoulder dislc,7.66
23665,,Cltx sho dslc fx gr hmrl tbr,4.66
23670,,Optx sho dislc fx,12.28
23675,,Cltx sho dislc neck fx mnpj,6.27
23680,,Optx sho dislc neck fx fixj,13.15
23700,,Mnpj anes sho jt fixj aprats,2.57
23800,,Arthrodesis glenohumeral jt,14.73
23802,,Arthrd glenohumeral jt w/grf,18.42
23900,,Interthoracoscplr amputation,20.72
23920,,Disarticulation shoulder,16.23
23921,,Disarticulation sho sec clsr,5.72
23929,,Unlisted procedure shoulder,0.00
23930,,I&d upr a/e dp absc/hmtma,2.99
23931,,I&d upr a/e bursa,1.84
23935,,Inc dp opn b1 crtx hum/elbw,6.38
24000,,Arthrt elbw expl drg/rmvl fb,6.08
24006,,Arthrt elbw capsl exc rls,9.74
24065,,Biopsy arm/elbow soft tissue,2.13
24066,,Biopsy arm/elbow soft tissue,5.35
24071,,Exc arm/elbow les sc 3 cm/>,5.70
24073,,Ex arm/elbow tum deep 5 cm/>,10.13
24075,,Exc arm/elbow les sc < 3 cm,4.24
24076,,Ex arm/elbow tum deep < 5 cm,7.41
24077,,Rad rescj tum tiss a/e <5cm,15.72
24079,,Rad rescj tum tiss a/e 5 cm+,20.61
24100,,Arthrt elbw synovial bx only,5.07
24101,,Arthrt elbw jt expl bx rmvl,6.30
24102,,Arthrt elbow w/synovectomy,8.26
24105,,Excision olecranon bursa,3.78
24110,,Exc/curtg b1 cst/b9 tum hum,7.58
24115,,Exc/crtg b1 cst/tum hum agrf,10.12
24116,,Exc/crtg b1 cst/tum hum algr,12.23
24120,,Exc/crtg b1 cst/b9 tum rds,6.82
24125,,Exc/crtg b1 cst/tum rds agrf,8.14
24126,,Exc/crtg b1 cst/tum rds algr,8.62
24130,,Excision radial head,6.42
24134,,Sequestrectomy shft/dstl hum,10.22
24136,,Sequestrectomy radial h/n,8.40
24138,,Sequestrectomy olecrn proces,8.50
24140,,Partial exc bone humerus,9.55
24145,,Prtl exc bone radial h/n,7.81
24147,,Prtl exc bone olecrn process,7.84
24149,,Radical resection of elbow,16.22
24150,,Rad rescj tum dstl/shft hum,23.46
24152,,Rad resection tum radial h/n,19.99
24155,,Resection of elbow joint,12.09
24160,,Rmvl prosthhumrl&ulnar cmpnt,18.63
24164,,Removal prosth radial head,10.00
24200,,Rmvl fb upper arm/elbw subq,1.81
24201,,Rmvl fb upper arm/elbw deep,4.70
24220,,Injection px for elbow arthg,1.31
24300,,Mnpj elbow under anes,4.04
24301,,Musc/tdn transfer upr a/e 1,10.38
24305,,Tendon lngth upr a/e ea tdn,7.62
24310,,Tnot opn elbw to sho ea tdn,6.12
24320,,Tenoplasty elbow to sho 1,10.86
24330,,Flexor-plasty elbow,9.79
24331,,Flexor-plasty elbw w/advmnt,10.95
24332,,Tenolysis triceps,7.91
24340,,Tenodesis biceps tdn at elbw,8.08
24341,,Rpr tdn/musc upr a/e each,9.49
24342,,Repair of ruptured tendon,10.86
24343,,Repr elbow lat ligmnt w/tiss,9.16
24344,,Reconstruct elbow lat ligmnt,15.21
24345,,Repr elbw med ligmnt w/tissu,9.16
24346,,Reconstruct elbow med ligmnt,15.21
24357,,Repair elbow perc,5.44
24358,,Repair elbow w/deb open,6.66
24359,,Repair elbow deb/attch open,8.98
24360,,Reconstruct elbow joint,12.67
24361,,Reconstruct elbow joint,14.41
24362,,Reconstruct elbow joint,15.32
24363,,Replace elbow joint,22.00
24365,,Reconstruct head of radius,8.62
24366,,Reconstruct head of radius,9.36
24370,,Revise reconst elbow joint,23.55
24371,,Revise reconst elbow joint,27.50
24400,,Revision of humerus,11.33
24410,,Revision of humerus,15.11
24420,,Revision of humerus,13.73
24430,,Repair of humerus,15.25
24435,,Repair humerus with graft,14.99
24470,,Revision of elbow joint,8.93
24495,,Decompression of forearm,8.41
24498,,Reinforce humerus,12.28
24500,,Treat humerus fracture,3.41
24505,,Treat humerus fracture,5.39
24515,,Treat humerus fracture,12.12
24516,,Treat humerus fracture,12.19
24530,,Treat humerus fracture,3.69
24535,,Treat humerus fracture,7.11
24538,,Treat humerus fracture,9.77
24545,,Treat humerus fracture,13.15
24546,,Treat humerus fracture,14.91
24560,,Treat humerus fracture,2.98
24565,,Treat humerus fracture,5.78
24566,,Treat humerus fracture,9.06
24575,,Treat humerus fracture,9.71
24576,,Treat humerus fracture,3.06
24577,,Treat humerus fracture,6.01
24579,,Treat humerus fracture,11.44
24582,,Treat humerus fracture,10.14
24586,,Treat elbow fracture,15.78
24587,,Treat elbow fracture,15.79
24600,,Treat elbow dislocation,4.37
24605,,Treat elbow dislocation,5.64
24615,,Treat elbow dislocation,9.83
24620,,Treat elbow fracture,7.22
24635,,Treat elbow fracture,8.80
24640,,Treat elbow dislocation,1.25
24650,,Treat radius fracture,2.31
24655,,Treat radius fracture,4.62
24665,,Treat radius fracture,8.36
24666,,Treat radius fracture,9.86
24670,,Treat ulnar fracture,2.69
24675,,Treat ulnar fracture,4.91
24685,,Treat ulnar fracture,8.37
24800,,Fusion of elbow joint,11.41
24802,,Fusion/graft of elbow joint,14.32
24900,,Amputation of upper arm,10.18
24920,,Amputation of upper arm,10.13
24925,,Amputation follow-up surgery,7.30
24930,,Amputation follow-up surgery,10.83
24931,,Amputate upper arm & implant,13.44
24935,,Revision of amputation,16.45
24940,,Revision of upper arm,0.00
24999,,Unlisted px humerus/elbow,0.00
25000,,Incision of tendon sheath,3.55
25001,,Incise flexor carpi radialis,3.79
25020,,Decompress forearm 1 space,6.06
25023,,Decompress forearm 1 space,13.83
25024,,Decompress forearm 2 spaces,10.79
25025,,Decompress forearm 2 spaces,17.94
25028,,Drainage of forearm lesion,5.39
25031,,Drainage of forearm bursa,4.26
25035,,Treat forearm bone lesion,7.65
25040,,Explore/treat wrist joint,7.50
25065,,Biopsy forearm soft tissues,2.04
25066,,Biopsy forearm soft tissues,4.27
25071,,Exc forearm les sc 3 cm/>,5.91
25073,,Exc forearm tum deep 3 cm/>,7.13
25075,,Exc forearm les sc < 3 cm,3.96
25076,,Exc forearm tum deep < 3 cm,6.74
25077,,Resect forearm/wrist tum<3cm,12.93
25078,,Resect forarm/wrist tum 3cm>,17.69
25085,,Incision of wrist capsule,5.64
25100,,Biopsy of wrist joint,4.02
25101,,Explore/treat wrist joint,4.83
25105,,Remove wrist joint lining,6.02
25107,,Remove wrist joint cartilage,7.70
25109,,Excise tendon forearm/wrist,6.94
25110,,Remove wrist tendon lesion,4.04
25111,,Remove wrist tendon lesion,3.53
25112,,Reremove wrist tendon lesion,4.67
25115,,Remove wrist/forearm lesion,10.09
25116,,Remove wrist/forearm lesion,7.56
25118,,Excise wrist tendon sheath,4.51
25119,,Partial removal of ulna,6.21
25120,,Removal of forearm lesion,6.27
25125,,Remove/graft forearm lesion,7.67
